id,lon,lat,tiv,island,route,location,MMI_med,MMI_std,prob_negligible,prob_moderate,prob_substantial,prob_very_heavy,prob_destruction
538,-155.08079442,19.69403196,100,Hawaii,2000,RIGHT,5.58,0.28,0.33822438105,0.0570699712177,0.0144867929302,0.00437082541176,0.0
542,-155.09148773,19.75935802,100,Hawaii,19,RIGHT,5.23,0.28,0.186239815216,0.0232116266605,0.00658885355039,0.000775182078431,0.0
544,-155.06438862,19.72235304,100,Hawaii,11,RIGHT,5.8,0.31,0.422004730015,0.0884073800738,0.0223107596899,0.00764737254902,0.0
545,-155.06438657,19.70824029,100,Hawaii,11,RIGHT,5.95,0.28,0.473125417515,0.112598304889,0.0287014689922,0.010141622549,0.0
546,-155.06606726,19.69379685,100,Hawaii,11,RIGHT,5.95,0.28,0.473125417515,0.112598304889,0.0287014689922,0.010141622549,0.0
547,-155.06517994,19.67922883,100,Hawaii,11,RIGHT,5.76,0.29,0.407523202606,0.0822875926199,0.0207440327442,0.00701138447059,0.0
548,-155.06177393,19.66515932,100,Hawaii,11,RIGHT,5.78,0.31,0.414807306118,0.0853272922509,0.0215198050233,0.00732752188235,0.0
549,-155.05357543,19.65285338,100,Hawaii,11,RIGHT,5.42,0.34,0.27136342076,0.0386843239852,0.0101225466047,0.00242588047059,0.0
550,-155.05337857,19.65349933,100,Hawaii,11,RIGHT,5.42,0.34,0.27136342076,0.0386843239852,0.0101225466047,0.00242588047059,0.0
551,-155.04460079,19.6410312,100,Hawaii,11,RIGHT,5.56,0.32,0.330126378956,0.0545415557196,0.0138766789457,0.00410434760784,0.0
552,-155.03955778,19.62764532,100,Hawaii,11,RIGHT,5.49,0.34,0.301190394962,0.0461921320111,0.0118842812093,0.003222142,0.0
553,-155.04512917,19.64071444,100,Hawaii,11,RIGHT,5.56,0.32,0.330126378956,0.0545415557196,0.0138766789457,0.00410434760784,0.0
554,-155.06132755,19.66540522,100,Hawaii,11,RIGHT,5.78,0.31,0.414807306118,0.0853272922509,0.0215198050233,0.00732752188235,0.0
555,-155.0648893,19.67915478,100,Hawaii,11,RIGHT,5.76,0.29,0.407523202606,0.0822875926199,0.0207440327442,0.00701138447059,0.0
556,-155.0398757,19.62763926,100,Hawaii,11,RIGHT,5.49,0.34,0.301190394962,0.0461921320111,0.0118842812093,0.003222142,0.0
557,-155.06405403,19.70823088,100,Hawaii,11,RIGHT,5.95,0.28,0.473125417515,0.112598304889,0.0287014689922,0.010141622549,0.0
558,-155.04656015,19.61493838,100,Hawaii,11,RIGHT,5.65,0.32,0.365954214461,0.0663784478782,0.0167599108527,0.00534918137255,0.0
559,-155.05303549,19.60209861,100,Hawaii,11,RIGHT,5.86,0.34,0.443067306287,0.0978704450185,0.0247722026667,0.00862692643137,0.0
560,-155.06404978,19.72235023,100,Hawaii,11,RIGHT,5.8,0.31,0.422004730015,0.0884073800738,0.0223107596899,0.00764737254902,0.0
561,-155.06086585,19.58961343,100,Hawaii,11,RIGHT,5.94,0.35,0.469878879113,0.110934831734,0.0282514202791,0.00997116611765,0.0
562,-155.06560543,19.57723151,100,Hawaii,11,RIGHT,5.94,0.35,0.469878879113,0.110934831734,0.0282514202791,0.00997116611765,0.0
563,-155.07911203,19.57058467,100,Hawaii,11,RIGHT,6.02,0.35,0.49519952731,0.124653895552,0.0320725810447,0.0113527249839,2.38431372549e-06
785,-154.92631206,19.48820847,100,Hawaii,132,RIGHT,6.38,0.36,0.597304860715,0.260644633958,0.0899723002736,0.0205052749169,0.00080977254902
786,-154.88383403,19.48948039,100,Hawaii,132,RIGHT,6.33,0.38,0.584131206131,0.235894709166,0.0783837504839,0.0188972438421,0.000616032352941
787,-154.89743551,19.48221374,100,Hawaii,132,RIGHT,6.54,0.37,0.637505720019,0.345399767155,0.131923495685,0.026446733105,0.00158950588235
788,-154.91191055,19.48570047,100,Hawaii,132,RIGHT,6.42,0.36,0.607628663981,0.28121664311,0.0998344433715,0.0218753384363,0.000982305882353
812,-155.11791664,19.86505082,100,Hawaii,220,RIGHT,5.1,0.37,0.124815332579,0.0174161439114,0.0053071627907,0.000152705882353,0.0
816,-155.12967604,19.85632544,100,Hawaii,220,RIGHT,5.27,0.36,0.204639956541,0.0258195089483,0.0071742735814,0.00105441988235,0.0
817,-155.14348925,19.850005,100,Hawaii,220,RIGHT,5.09,0.38,0.119992542382,0.0171503718635,0.00524922632558,0.000124076117647,0.0
829,-155.09815987,19.69403805,100,Hawaii,2000,RIGHT,5.61,0.29,0.350226592618,0.060974326476,0.0154350685581,0.00478170388235,0.0
830,-155.11329453,19.69204938,100,Hawaii,2000,RIGHT,5.4,0.29,0.262683547511,0.0367055350554,0.00966306976744,0.00221552941176,0.0
835,-155.12353052,19.68139233,100,Hawaii,2000,RIGHT,5.48,0.29,0.296982987294,0.0450661077491,0.0116182310698,0.00310290070588,0.0
839,-155.13803714,19.68123605,100,Hawaii,2000,RIGHT,5.31,0.31,0.222791480333,0.0287881262915,0.00784607972093,0.00137174270588,0.0
840,-155.15296167,19.68117379,100,Hawaii,2000,RIGHT,5.4,0.37,0.262683547511,0.0367055350554,0.00966306976744,0.00221552941176,0.0
888,-154.995832,19.56506538,100,Hawaii,130,RIGHT,5.62,0.35,0.354188237834,0.062304597048,0.0157598625736,0.00492152596078,0.0
889,-155.18381568,19.68156852,100,Hawaii,200,RIGHT,5.24,0.4,0.190862737665,0.0238289239852,0.00672699981395,0.000841321411765,0.0
891,-155.2106178,19.69397034,100,Hawaii,200,RIGHT,5.29,0.46,0.213747276515,0.0272597021218,0.00749950415504,0.00120843454902,0.0
892,-155.22638189,19.69802374,100,Hawaii,200,RIGHT,5.29,0.51,0.213747276515,0.0272597021218,0.00749950415504,0.00120843454902,0.0
893,-155.23442048,19.69983957,100,Hawaii,200,RIGHT,5.29,0.51,0.213747276515,0.0272597021218,0.00749950415504,0.00120843454902,0.0
894,-155.24821087,19.69428577,100,Hawaii,200,RIGHT,5.01,0.63,0.0809388336584,0.016014527583,0.0050031187907,1.56976470588e-06,0.0
895,-154.98620882,19.5537739,100,Hawaii,130,RIGHT,5.75,0.35,0.40384894655,0.0807834986162,0.0203619186047,0.00685477941176,0.0
907,-155.04044673,19.62324988,100,Hawaii,139,RIGHT,5.54,0.35,0.32195227676,0.0520750088561,0.0132845142326,0.00384408847059,0.0
909,-155.43684016,19.68595741,100,Hawaii,200,RIGHT,5.02,0.57,0.0858652544857,0.0160579476015,0.00501245420155,6.26007843137e-06,0.0
910,-155.45222442,19.68767844,100,Hawaii,200,RIGHT,5.04,0.52,0.0956803767602,0.0162304885609,0.00504964911628,2.48884705882e-05,0.0
911,-155.46749024,19.6893194,100,Hawaii,200,RIGHT,5.2,0.51,0.172281182504,0.0215018450185,0.00620768992248,0.000591843137255,0.0
914,-155.03285032,19.61113454,100,Hawaii,139,RIGHT,5.54,0.35,0.32195227676,0.0520750088561,0.0132845142326,0.00384408847059,0.0
916,-154.97116292,19.529805,100,Hawaii,130,RIGHT,6.13,0.34,0.528258365927,0.153554155607,0.0425832223853,0.0135723521072,9.89147058824e-05
917,-154.96482791,19.51641379,100,Hawaii,130,RIGHT,6.34,0.34,0.586790259592,0.240745808593,0.0806305934567,0.019209676962,0.0006528
918,-154.94307113,19.49758085,100,Hawaii,130,RIGHT,6.37,0.35,0.594694294739,0.255600675988,0.0875856608138,0.0201744505733,0.000769055882353
923,-154.94109785,19.48340217,100,Hawaii,130,RIGHT,6.38,0.36,0.597304860715,0.260644633958,0.0899723002736,0.0205052749169,0.00080977254902
948,-155.06352592,19.72270394,100,Hawaii,19,RIGHT,5.8,0.31,0.422004730015,0.0884073800738,0.0223107596899,0.00764737254902,0.0
949,-154.94119828,19.46885397,100,Hawaii,130,RIGHT,6.41,0.36,0.605065324656,0.27601912675,0.0973235072915,0.0215257626011,0.000937734313725
950,-154.94106952,19.45419063,100,Hawaii,130,RIGHT,6.32,0.39,0.581459833792,0.231097965023,0.076174278487,0.0185893522363,0.000580266666667
951,-154.94380292,19.4400986,100,Hawaii,130,RIGHT,6.15,0.38,0.534085356618,0.160249788657,0.0452697245288,0.0140282278481,0.00013125
953,-154.94862069,19.42569007,100,Hawaii,130,RIGHT,6.15,0.38,0.534085356618,0.160249788657,0.0452697245288,0.0140282278481,0.00013125
954,-155.08911062,19.73118504,100,Hawaii,19,RIGHT,5.25,0.28,0.195470482183,0.0244694995387,0.00687063953488,0.000909926470588,0.0
956,-154.95287928,19.41245259,100,Hawaii,130,RIGHT,6.21,0.39,0.551239154791,0.182623718468,0.0546136310478,0.0154958447059,0.000254655882353
958,-155.09051125,19.74518546,100,Hawaii,19,RIGHT,5.26,0.3,0.200062928549,0.0251331092251,0.00701974127132,0.000980968784314,0.0
959,-154.95577997,19.39837022,100,Hawaii,130,RIGHT,6.26,0.41,0.56516849043,0.203596511676,0.0637564865331,0.0168361134574,0.000387043137255
960,-154.95839967,19.38439023,100,Hawaii,130,RIGHT,6.43,0.48,0.610180393649,0.286446408417,0.102374031752,0.0222296584363,0.00102782647059
961,-154.96470182,19.37129498,100,Hawaii,130,RIGHT,7.03,0.58,0.745044127303,0.566777489823,0.270745093367,0.0531952101988,0.00530582236421
962,-154.97561255,19.36235988,100,Hawaii,130,RIGHT,6.94,0.6,0.726770220067,0.53838620778,0.247192247882,0.0471182184363,0.00446997647059
963,-155.09335953,19.77351736,100,Hawaii,19,RIGHT,5.32,0.28,0.227289613128,0.0295848147601,0.00802729327132,0.00145681066667,0.0
965,-155.09181013,19.78780127,100,Hawaii,19,RIGHT,5.47,0.31,0.292757516375,0.0439575034133,0.0113569197829,0.00298544184314,0.0
966,-155.09842799,19.80051142,100,Hawaii,19,RIGHT,5.38,0.33,0.25393526835,0.0348042369004,0.00922355448062,0.00201321913725,0.0
967,-155.10365353,19.81402508,100,Hawaii,19,RIGHT,5.27,0.34,0.204639956541,0.0258195089483,0.0071742735814,0.00105441988235,0.0
968,-155.10414511,19.8283053,100,Hawaii,19,RIGHT,5.34,0.35,0.236237339385,0.0312419239852,0.00840541469767,0.001633632,0.0
969,-155.10310246,19.8428698,100,Hawaii,19,RIGHT,5.2,0.36,0.172281182504,0.0215018450185,0.00620768992248,0.000591843137255,0.0
970,-155.09960835,19.85695668,100,Hawaii,19,RIGHT,5.2,0.36,0.172281182504,0.0215018450185,0.00620768992248,0.000591843137255,0.0
971,-155.10599612,19.86945598,100,Hawaii,19,RIGHT,5.17,0.38,0.158190276397,0.0200103548893,0.00587709931783,0.000431720666667,0.0
972,-155.11646869,19.87994435,100,Hawaii,19,RIGHT,5.22,0.38,0.181601835059,0.0226178516605,0.00645623218605,0.000711536941176,0.0
995,-155.02873596,19.6080744,100,Hawaii,130,RIGHT,5.76,0.35,0.407523202606,0.0822875926199,0.0207440327442,0.00701138447059,0.0
996,-155.0310807,19.62241474,100,Hawaii,130,RIGHT,5.54,0.35,0.32195227676,0.0520750088561,0.0132845142326,0.00384408847059,0.0
1012,-154.85349369,19.49476342,100,Hawaii,132,RIGHT,6.36,0.43,0.592071725094,0.250601248264,0.0852325173633,0.0198482578109,0.000729317647059
1120,-154.83402482,19.50450823,100,Hawaii,137,RIGHT,6.81,0.52,0.699321930091,0.484806116223,0.210538577524,0.0394317100819,0.00340271470588
